"idoxatis";"sku";"nombre";"stock";"pvprecomendado";"ean"
30538892;373101D;Lampara Varas Schuller - Blanco mate y oro 5 Luces LED Con Mando;1;180,00;8,44E+12
30538893;373101;Lampara Varas Schuller - Blanco mate y oro 5 Luces LED;93;150,00;8,44E+12
30538901;373261D;Lampara Varas Schuller -  Blanco y cromo 9 Luces LED Con Mando;0;249,00;8,44E+12
30538902;373261;Lampara Varas Schuller -  Blanco y cromo 9 Luces LED;24;219,00;8,44E+12
30538939;373342D;Lampara Varas Schuller -  Blanco y oro 11 luces LED Con Mando;0;297,00;8,44E+12
30538940;373342;Lampara Varas Schuller -  Blanco y oro 11 luces LED;26;270,00;8,44E+12
30538954;373250D;Lampara Varas Schuller -  Blanco y oro 9 Luces LED Con Mando;0;267,00;8,44E+12
30538955;373250;Lampara Varas Schuller -  Blanco y oro 9 Luces LED;54;237,00;8,44E+12
30549946;377485;L?mpara colgante Lipse Schuller -  cromo 7L. LED.;7;144,00;8,44E+12
30550104;377523;L?mpara colgante Lipse Schuller - acabado cromo 5L. LED.;10;120,00;8,44E+12
30550229;377934;L?mpara espiral Lipse Schuller - 9L. LED.;46;198,00;8,44E+12
30550304;377101;L?mpara colgante Lipse Schuller - acabado cromo 1L. LED.;57;30,00;8,44E+12
30550401;773421;L?mpara colgante Elie Schuller - acabado cromo 4L. LED.;20;159,00;8,44E+12
30551319;773572;L?mpara colgante Elie Schuller - acabado cromo 5L. LED.;17;195,00;8,44E+12
30551360;394460;L?mpara colgante Taccia Schuller - acabado cromo 4L. LED.;7;138,00;8,44E+12
30556690;394318;L?mpara colgante Taccia Schuller - acabado cromo 1L. LED.;34;51,00;8,44E+12
30556744;394529;L?mpara colgante Taccia Schuller -  6 colgantes. LED.;27;207,00;8,44E+12
30556797;394647;L?mpara colgante Taccia Schuller - 38cm ?. 6L. LED.;3;186,00;8,44E+12
30561181;345381;L?mpara colgante Izar Schuller - negro cromo 4L. LED.;4;147,00;8,44E+12
30561274;584214;L?mpara colgante Nebula Schuller - 4 luces LED. Cromo;18;159,00;8,44E+12
30561288;584102;L?mpara colgante Nebula Schuller - 1 luz LED. Cromo;87;54,00;8,44E+12
30569922;281483;Plafon Laris Schuller - acabado cromo  43cm. ?. luz LED;95;162,00;8,44E+12
30570084;281096;Aplique pared Laris Schuller - acabado cromo  luz LED;41;84,00;8,44E+12
30570173;584659;Aplique pared Nebula Schuller - 1 luz LED. Cromo;26;51,00;8,44E+12
30570330;493826;L?mpara sobremesa Nebula Schuller - 1 luz LED. Cromo;69;57,00;8,44E+12
30570342;345509D;L?mpara colgante Altais Schuller - negro cromo 9L. LED. Con Mando;3;261,00;8,44E+12
30570343;345509;L?mpara colgante Altais Schuller - negro cromo 9L. LED.;33;228,00;8,44E+12
30570354;346810;L?mpara regleta Adame Schuller - negro y oro 3L. LED;6;99,00;8,44E+12
30570360;346028;L?mpara colgante Adame Schuller - Blanco y plata 1L. LED;110;30,00;8,44E+12
30570375;346766;L?mpara colgante Adame Schuller - Blanco y plata 3L. LED;15;99,00;8,44E+12
30570392;584438D;L?mpara colgante Nebula Schuller - 5 luces LED. Cromo;4;228,00;8,44E+12
30570393;584438;L?mpara colgante Nebula Schuller - 5 luces LED. Cromo;4;186,00;8,44E+12
30570412;346011;L?mpara colgante Adame Schuller - Negro y oro 1L. LED;20;30,00;8,44E+12
30570422;584541D;L?mpara colgante Nebula Schuller - 12 luces LED. Cromo;14;519,00;8,44E+12
30570423;584541;L?mpara colgante Nebula Schuller - 12 luces LED. Cromo;12;468,00;8,44E+12
30570434;346109;L?mpara de pie Adame Schuller - Negro y oro 1L. LED;24;60,00;8,44E+12
30570438;346115;L?mpara de pie Adame Schuller - Blanco y plata 1L. LED;3;60,00;8,44E+12
30570444;346246;L?mpara de pie Adame Schuller - Blanco y plata 3L. LED;13;138,00;8,44E+12
30570449;346230;L?mpara de pie Adame Schuller - Negro y oro 3L. LED;0;138,00;8,44E+12
30570451;346357;Sobremesa Flexo Adame Schuller - Negro y oro 1L. LED;15;60,00;8,44E+12
30571252;346382;Sobremesa Flexo Adame Schuller - Blanco y oro 1L. LED;77;60,00;8,44E+12
30571271;346573;Aplique pared Adame Schuller - Negro y oro 1L. LED;60;30,00;8,44E+12
30571280;346596;Aplique pared Adame Schuller - blanco y plata 1L. LED;48;30,00;8,44E+12
30571281;281275D;Colgante Laris Schuller - acabado cromo  62cm. ?. luz LED;0;261,00;8,44E+12
30571282;281275;Colgante Laris Schuller - acabado cromo  62cm. ?. luz LED;79;231,00;8,44E+12
30571295;281360D;Colgante Laris Schuller - acabado cromo  82cm. ?. luz LED;0;483,00;8,44E+12
30571296;281360;Colgante Laris Schuller - acabado cromo  82cm. ?. luz LED;74;453,00;8,44E+12
30571349;753321;L?mpara Limus Schuller - acero inoxidable pulido luz LED;3;573,00;8,44E+12
30571371;346724;L?mpara colgante Adame Schuller - Negro y oro 3L. LED;0;99,00;8,44E+12
30571374;753319;L?mpara colgante Limus Schuller - ba?o dorado  luz LED;38;630,00;8,44E+12
30571397;495872;L?mpara Cuadros Schuller - acabado cromo brillo luz LED;29;216,00;8,44E+12
30571401;495703;L?mpara Cuadros Schuller - acabado cromo brillo luz LED;35;144,00;8,44E+12
30572300;785194;L?mpara Plafon Quasar Schuller - Con mando 45cm ? LED;34;87,00;8,44E+12
30572307;785263;L?mpara Plafon Quasar Schuller - Con mando 80cm ? LED;41;144,00;8,44E+12
30572308;673699;L?mpara Plafon Quasar Schuller - Con mando 80cm ? LED;38;87,00;8,44E+12
30586523;853804;Cuadro Geisha Schuller - Cuadro fotograf?a impresa Geisha;7;126,00;8,44E+12
30586638;880138;Cuadro Colores Schuller - Cuadro fotograf?a impresa Colores;0;99,00;8,44E+12
30586650;921688;Cuadro Simbiosis Schuller - Cuadro fotograf?a impresa;7;99,00;8,44E+12
30586663;861298;Cuadro Quebrada Schuller - Cuadro fotograf?a impresa;6;99,00;8,44E+12
30586667;899925;Cuadro Comic Schuller - Cuadro fotograf?a impresa Comic;30;99,00;8,44E+12
30586674;826198;Cuadro Marea Baja Schuller - Cuadro fotograf?a impresa;32;99,00;8,44E+12
30586691;775922;Cuadro The Empire State Schuller - Cuadro fotograf?a impresa;13;99,00;8,44E+12
30593947;729040;Cuadro Rascacielos Schuller - Cuadro fotograf?a impresa;41;99,00;8,44E+12
30593984;819374;Cuadro Gotica Schuller - Cuadro fotograf?a impresa Gotica;23;99,00;8,44E+12
30594018;978153;Cuadro Oronegro Schuller - Cuadro fotograf?a impresa;60;87,00;8,44E+12
30594062;748472;Cuadro Mujer Dorada Schuller - Cuadro fotograf?a impresa;27;147,00;8,44E+12
30594075;978245;Cuadro ?bano Schuller - Cuadro fotograf?a impresa Ebano;71;99,00;8,44E+12
30594124;770916;Cuadro Streets Schuller - Cuadro pintura acrilica Schuller;33;123,00;8,44E+12
30594140;316704;Cuadro Vesta Schuller - Lienzo impreso Vesta de  Schuller;18;147,00;8,44E+12
30594150;316918;Cuadro Tal?a Schuller - Lienzo impreso Tal?a de  Schuller;38;147,00;8,44E+12
30594160;421862;Cuadro Himba Schuller - Lienzo impreso Himba de  Schuller;27;147,00;8,44E+12
